11146;ELK 423E;Lale  Ergene;40;['Cuma '];['0830/1129 '];['5301 '];['ELK', ' ELKE'];['EEB']
11147;ELK 431;Murat  Ýmeryüz;30;['Salý '];['1230/1429 '];['5103 '];ELK;['EEB']
11148;ELK 431;Güven  Kömürgöz Kýrýþ;30;['Perþembe '];['1230/1429 '];['5307 '];ELK;['EEB']
11149;ELK 431;Derya Ahmet Kocabaþ;30;['Cuma '];['0830/1029 '];['5201 '];ELK;['EEB']
11150;ELK 431E;Lale  Ergene;30;['Pazartesi '];['1230/1429 '];['5205 '];ELKE;['EEB']
11151;ELK 443E;Duygu  Bayram;40;['Cuma '];['1400/1659 '];['5307 '];KOME;['EEB']
11152;ELK 455E;***;40;['Perþembe '];['0830/1129 '];['5307 '];['ELK', ' ELKE'];['EEB']
11153;ELK 455E;***;40;['Perþembe '];['0830/1129 '];['5305 '];['ELK', ' ELKE'];['EEB']
11154;ELK 458;Mustafa  Baðrýyanýk;15;['Pazartesi '];['0830/1129 '];['5303 '];ELK;['EEB']
11155;ELK 458;Güven  Kömürgöz Kýrýþ;15;['Pazartesi '];['0830/1129 '];['5201 '];ELK;['EEB']
11156;ELK 458;Canan  Karatekin;15;['Pazartesi '];['0830/1129 '];['5107 '];ELK;['EEB']
11157;ELK 463E;Aydoðan  Özdemir;40;['Salý '];['1230/1529 '];['5101 '];['ELK', ' ELKE'];['EEB']
11158;ELK 471;Ömer  Gül;40;['Salý '];['1230/1529 '];['--- '];ELK;['EEB']
11159;ELK 471E;Özgür  Üstün;40;['Cuma '];['1400/1659 '];['5305 '];ELKE;['EEB']
11160;ELK 472;Ayþen  Demirören;40;['Perþembe '];['1230/1529 '];['5105 '];ELK;['EEB']
11161;ELK 473;Suat  Ýlhan;40;['Perþembe '];['1230/1529 '];['--- '];ELK;['EEB']
11162;ELK 483;Özcan  Kalenderli;40;['Cuma '];['0830/1129 '];['5107 '];ELK;['EEB']
11163;ELK 492;Emine  Ayaz;500;['---- '];['/ '];['--- '];ELK;['---']
11164;ELK 492E;Emine  Ayaz;500;['---- '];['/ '];['--- '];['ELK', ' ELKE'];['---']
11165;ELK 493E;Lale  Erdem Atýlgan;30;['Pazartesi '];['1230/1529 '];['2106 '];['ELK', ' ELKE'];['EEB']
11166;ELK 495;Ömer  Gül;40;['Pazartesi '];['0830/1129 '];['5103 '];ELK;['EEB']
11167;ELK 497;Murat  Yýlmaz;40;['Cuma '];['1400/1659 '];['5303 '];ELK;['EEB']
